EVENT; TIME; ARG1; ARG2
Player_1_Torso_Pos; 17.0202; 808; 774
Player_1_Left_Hand_Pos; 17.0202; 504; 564
Player_1_Right_Hand_Pos; 17.0202; 1212; 533
Player_1_Left_Foot_Pos; 17.0202; 278; 1763
Player_1_Right_Foot_Pos; 17.0202; 1212; 533
Player_1_Head_Pos; 17.0713; 787; 258
Player_1_Torso_Pos; 17.0713; 808; 774
Player_1_Left_Hand_Pos; 17.0713; 546; 560
Player_1_Right_Hand_Pos; 17.0713; 1160; 525
Player_1_Left_Foot_Pos; 17.0713; 267; 1771
Player_1_Right_Foot_Pos; 17.0713; 1160; 525
Player_1_Head_Pos; 17.0895; 787; 258
Player_1_Torso_Pos; 17.0895; 808; 778
Player_1_Left_Hand_Pos; 17.0895; 551; 560
Player_1_Right_Hand_Pos; 17.0895; 1118; 516
Player_1_Left_Foot_Pos; 17.0895; 262; 1771
Player_1_Right_Foot_Pos; 17.0895; 1118; 516
Player_1_Head_Pos; 17.1199; 787; 258
Player_1_Torso_Pos; 17.1199; 808; 783
Player_1_Left_Hand_Pos; 17.1199; 535; 551
Player_1_Right_Hand_Pos; 17.1199; 1081; 511
Player_1_Left_Foot_Pos; 17.1199; 257; 1776
Player_1_Right_Foot_Pos; 17.1199; 1081; 511
Player_1_Head_Pos; 17.1793; 787; 258
Player_1_Torso_Pos; 17.1793; 808; 783
Player_1_Left_Hand_Pos; 17.1793; 477; 490
Player_1_Right_Hand_Pos; 17.1793; 1081; 511
Player_1_Left_Foot_Pos; 17.1793; 262; 1780
Player_1_Right_Foot_Pos; 17.1793; 1081; 511
Player_1_Head_Pos; 17.2074; 787; 258
Player_1_Torso_Pos; 17.2074; 808; 778
Player_1_Left_Hand_Pos; 17.2074; 409; 511
Player_1_Right_Hand_Pos; 17.2074; 1107; 498
Player_1_Left_Foot_Pos; 17.2074; 241; 1767
Player_1_Right_Foot_Pos; 17.2074; 1107; 498
Player_1_Head_Pos; 17.2211; 787; 262
Player_1_Torso_Pos; 17.2211; 808; 778
Player_1_Left_Hand_Pos; 17.2211; 336; 516
Player_1_Right_Hand_Pos; 17.2211; 1160; 503
Player_1_Left_Foot_Pos; 17.2211; 241; 1776
Player_1_Right_Foot_Pos; 17.2211; 1160; 503
Player_1_Head_Pos; 17.2739; 782; 262
Player_1_Torso_Pos; 17.2739; 808; 778
Player_1_Left_Hand_Pos; 17.2739; 309; 525
Player_1_Right_Hand_Pos; 17.2739; 1249; 476
Player_1_Left_Foot_Pos; 17.2739; 99; 1435
Player_1_Right_Foot_Pos; 17.2739; 1249; 476
Player_1_Head_Pos; 17.3058; 777; 262
Player_1_Torso_Pos; 17.3058; 803; 778
Player_1_Left_Hand_Pos; 17.3058; 278; 551
Player_1_Right_Hand_Pos; 17.3058; 1275; 476
Player_1_Left_Foot_Pos; 17.3058; 225; 1785
Player_1_Right_Foot_Pos; 17.3058; 1275; 476
Player_1_Head_Pos; 17.3212; 771; 262
Player_1_Torso_Pos; 17.3212; 803; 778
Player_1_Left_Hand_Pos; 17.3212; 278; 555
Player_1_Right_Hand_Pos; 17.3212; 1296; 476
Player_1_Left_Foot_Pos; 17.3212; 89; 1421
Player_1_Right_Foot_Pos; 17.3212; 1296; 476
Player_1_Head_Pos; 17.3862; 766; 262
Player_1_Torso_Pos; 17.3862; 798; 778
Player_1_Left_Hand_Pos; 17.3862; 315; 555
Player_1_Right_Hand_Pos; 17.3862; 1296; 485
Player_1_Left_Foot_Pos; 17.3862; 630; 844
Player_1_Right_Foot_Pos; 17.3862; 1296; 485
Player_1_Head_Pos; 17.4103; 761; 262
Player_1_Torso_Pos; 17.4103; 798; 783
Player_1_Left_Hand_Pos; 17.4103; 372; 568
Player_1_Right_Hand_Pos; 17.4103; 1233; 516
Player_1_Left_Foot_Pos; 17.4103; 194; 870
Player_1_Right_Foot_Pos; 17.4103; 1233; 516
Player_1_Head_Pos; 17.4207; 756; 262
Player_1_Torso_Pos; 17.4207; 792; 783
Player_1_Left_Hand_Pos; 17.4207; 425; 586
Player_1_Right_Hand_Pos; 17.4207; 1191; 542
Player_1_Left_Foot_Pos; 17.4207; 178; 791
Player_1_Right_Foot_Pos; 17.4207; 1191; 542
Player_1_Head_Pos; 17.4394; 756; 266
Player_1_Torso_Pos; 17.4394; 792; 787
Player_1_Left_Hand_Pos; 17.4394; 435; 603
Player_1_Right_Hand_Pos; 17.4394; 1160; 546
Player_1_Left_Foot_Pos; 17.4394; 178; 791
Player_1_Right_Foot_Pos; 17.4394; 1160; 546
Player_1_Head_Pos; 17.5216; 750; 266
Player_1_Torso_Pos; 17.5216; 787; 791
Player_1_Left_Hand_Pos; 17.5216; 435; 638
Player_1_Right_Hand_Pos; 17.5216; 1155; 551
Player_1_Left_Foot_Pos; 17.5216; 183; 774
Player_1_Right_Foot_Pos; 17.5216; 1155; 551
Player_1_Head_Pos; 17.5393; 745; 271
Player_1_Torso_Pos; 17.5393; 782; 796
Player_1_Left_Hand_Pos; 17.5393; 420; 669
Player_1_Right_Hand_Pos; 17.5393; 1170; 542
Player_1_Left_Foot_Pos; 17.5393; 225; 892
Player_1_Right_Foot_Pos; 17.5393; 1170; 542
Player_1_Head_Pos; 17.5553; 735; 275
Player_1_Torso_Pos; 17.5553; 782; 796
Player_1_Left_Hand_Pos; 17.5553; 409; 686
Player_1_Right_Hand_Pos; 17.5553; 1218; 542
Player_1_Left_Foot_Pos; 17.5553; 246; 883
Player_1_Right_Foot_Pos; 17.5553; 1218; 542
Player_1_Head_Pos; 17.5865; 729; 275
Player_1_Torso_Pos; 17.5865; 777; 800
Player_1_Left_Hand_Pos; 17.5865; 383; 761
Player_1_Right_Hand_Pos; 17.5865; 1281; 533
Player_1_Left_Foot_Pos; 17.5865; 241; 879
Player_1_Right_Foot_Pos; 17.5865; 1281; 533
Player_1_Head_Pos; 17.627; 729; 275
Player_1_Torso_Pos; 17.627; 771; 805
Player_1_Left_Hand_Pos; 17.627; 483; 525
Player_1_Right_Hand_Pos; 17.627; 1296; 533
Player_1_Left_Foot_Pos; 17.627; 231; 883
Player_1_Right_Foot_Pos; 17.627; 1296; 533
Player_1_Head_Pos; 17.6773; 724; 284
Player_1_Torso_Pos; 17.6773; 771; 809
Player_1_Left_Hand_Pos; 17.6773; 504; 533
Player_1_Right_Hand_Pos; 17.6773; 1307; 538
Player_1_Left_Foot_Pos; 17.6773; 220; 883
Player_1_Right_Foot_Pos; 17.6773; 1307; 538
Player_1_Head_Pos; 17.7057; 724; 293
Player_1_Torso_Pos; 17.7057; 766; 818
Player_1_Left_Hand_Pos; 17.7057; 488; 533
Player_1_Right_Hand_Pos; 17.7057; 1312; 551
Player_1_Left_Foot_Pos; 17.7057; 215; 883
Player_1_Right_Foot_Pos; 17.7057; 1312; 551
Player_1_Head_Pos; 17.7244; 735; 319
Player_1_Torso_Pos; 17.7244; 771; 831
Player_1_Left_Hand_Pos; 17.7244; 488; 538
Player_1_Right_Hand_Pos; 17.7244; 1307; 603
Player_1_Left_Foot_Pos; 17.7244; 220; 892
Player_1_Right_Foot_Pos; 17.7244; 1307; 603
Player_1_Head_Pos; 17.7727; 750; 371
Player_1_Torso_Pos; 17.7727; 771; 844
Player_1_Left_Hand_Pos; 17.7727; 393; 511
Player_1_Right_Hand_Pos; 17.7727; 1291; 621
Player_1_Left_Foot_Pos; 17.7727; 220; 896
Player_1_Right_Foot_Pos; 17.7727; 1291; 621
Player_1_Head_Pos; 17.7875; 756; 376
Player_1_Torso_Pos; 17.7875; 777; 853
Player_1_Left_Hand_Pos; 17.7875; 425; 520
Player_1_Right_Hand_Pos; 17.7875; 1323; 546
Player_1_Left_Foot_Pos; 17.7875; 225; 901
Player_1_Right_Foot_Pos; 17.7875; 1323; 546
Player_1_Head_Pos; 17.8285; 766; 371
Player_1_Torso_Pos; 17.8285; 792; 861
Player_1_Left_Hand_Pos; 17.8285; 504; 498
Player_1_Right_Hand_Pos; 17.8285; 1275; 770
Player_1_Left_Foot_Pos; 17.8285; 220; 883
Player_1_Right_Foot_Pos; 17.8285; 1275; 770
Player_1_Head_Pos; 17.8567; 819; 345
Player_1_Torso_Pos; 17.8567; 771; 892
Player_1_Left_Hand_Pos; 17.8567; 588; 568
Player_1_Right_Hand_Pos; 17.8567; 1275; 770
Player_1_Left_Foot_Pos; 17.8567; 315; 796
Player_1_Right_Foot_Pos; 17.8567; 1275; 770
Player_1_Head_Pos; 17.9135; 834; 328
Player_1_Torso_Pos; 17.9135; 745; 910
Player_1_Left_Hand_Pos; 17.9135; 640; 542
Player_1_Right_Hand_Pos; 17.9135; 1270; 770
Player_1_Left_Foot_Pos; 17.9135; 404; 726
Player_1_Right_Foot_Pos; 17.9135; 1270; 770
Player_1_Head_Pos; 17.9538; 834; 323
Player_1_Torso_Pos; 17.9538; 819; 918
Player_1_Left_Hand_Pos; 17.9538; 614; 533
Player_1_Right_Hand_Pos; 17.9538; 1270; 770
Player_1_Left_Foot_Pos; 17.9538; 409; 721
Player_1_Right_Foot_Pos; 17.9538; 1270; 770
Player_1_Head_Pos; 17.9937; 834; 319
Player_1_Torso_Pos; 17.9937; 808; 923
Player_1_Left_Hand_Pos; 17.9937; 651; 533
Player_1_Right_Hand_Pos; 17.9937; 1270; 770
Player_1_Left_Foot_Pos; 17.9937; 404; 717
Player_1_Right_Foot_Pos; 17.9937; 1270; 770
Player_1_Head_Pos; 18.0221; 840; 319
Player_1_Torso_Pos; 18.0221; 808; 923
Player_1_Left_Hand_Pos; 18.0221; 645; 538
Player_1_Right_Hand_Pos; 18.0221; 1270; 770
Player_1_Left_Foot_Pos; 18.0221; 404; 717
Player_1_Right_Foot_Pos; 18.0221; 1270; 770
Player_1_Head_Pos; 18.0728; 840; 315
Player_1_Torso_Pos; 18.0728; 740; 931
Player_1_Left_Hand_Pos; 18.0728; 614; 494
Player_1_Right_Hand_Pos; 18.0728; 1275; 770
Player_1_Left_Foot_Pos; 18.0728; 399; 700
Player_1_Right_Foot_Pos; 18.0728; 1275; 770
Player_1_Head_Pos; 18.0879; 840; 310
Player_1_Torso_Pos; 18.0879; 777; 936
Player_1_Left_Hand_Pos; 18.0879; 619; 463
Player_1_Right_Hand_Pos; 18.0879; 1270; 770
Player_1_Left_Foot_Pos; 18.0879; 393; 708
Player_1_Right_Foot_Pos; 18.0879; 1270; 770
Player_1_Head_Pos; 18.1622; 834; 319
Player_1_Torso_Pos; 18.1622; 761; 940
Player_1_Left_Hand_Pos; 18.1622; 630; 472
Player_1_Right_Hand_Pos; 18.1622; 1270; 774
Player_1_Left_Foot_Pos; 18.1622; 383; 700
Player_1_Right_Foot_Pos; 18.1622; 1270; 774
Player_1_Head_Pos; 18.1908; 834; 310
Player_1_Torso_Pos; 18.1908; 756; 945
Player_1_Left_Hand_Pos; 18.1908; 630; 472
Player_1_Right_Hand_Pos; 18.1908; 1265; 778
Player_1_Left_Foot_Pos; 18.1908; 378; 700
Player_1_Right_Foot_Pos; 18.1908; 1265; 778
Player_1_Head_Pos; 18.2536; 861; 310
Player_1_Torso_Pos; 18.2536; 834; 945
Player_1_Left_Hand_Pos; 18.2536; 635; 468
Player_1_Right_Hand_Pos; 18.2536; 1328; 735
Player_1_Left_Foot_Pos; 18.2536; 540; 700
Player_1_Right_Foot_Pos; 18.2536; 1328; 735
Player_1_Head_Pos; 18.2879; 813; 336
Player_1_Torso_Pos; 18.2879; 750; 958
Player_1_Left_Hand_Pos; 18.2879; 635; 463
Player_1_Right_Hand_Pos; 18.2879; 1249; 818
Player_1_Left_Foot_Pos; 18.2879; 362; 700
Player_1_Right_Foot_Pos; 18.2879; 1249; 818
Player_1_Head_Pos; 18.3308; 708; 341
