EVENT; TIME; ARG1; ARG2
Player_1_Right_Foot_Pos; 19.1344; 1176; 743
Player_1_Head_Pos; 19.1693; 1102; 389
Player_1_Torso_Pos; 19.1693; 976; 634
Player_1_Left_Hand_Pos; 19.1693; 719; 630
Player_1_Right_Hand_Pos; 19.1693; 1176; 743
Player_1_Left_Foot_Pos; 19.1693; 939; 1019
Player_1_Right_Foot_Pos; 19.1693; 1176; 743
Player_1_Head_Pos; 19.1901; 1102; 389
Player_1_Torso_Pos; 19.1901; 955; 625
Player_1_Left_Hand_Pos; 19.1901; 714; 621
Player_1_Right_Hand_Pos; 19.1901; 1170; 735
Player_1_Left_Foot_Pos; 19.1901; 934; 966
Player_1_Right_Foot_Pos; 19.1901; 1170; 735
Player_1_Head_Pos; 19.2343; 1113; 389
Player_1_Torso_Pos; 19.2343; 971; 630
Player_1_Left_Hand_Pos; 19.2343; 719; 630
Player_1_Right_Hand_Pos; 19.2343; 1191; 857
Player_1_Left_Foot_Pos; 19.2343; 945; 1023
Player_1_Right_Foot_Pos; 19.2343; 1191; 857
Player_1_Head_Pos; 19.2658; 1097; 389
Player_1_Torso_Pos; 19.2658; 945; 625
Player_1_Left_Hand_Pos; 19.2658; 714; 621
Player_1_Right_Hand_Pos; 19.2658; 1165; 739
Player_1_Left_Foot_Pos; 19.2658; 929; 914
Player_1_Right_Foot_Pos; 19.2658; 1165; 739
Player_1_Head_Pos; 19.3138; 1107; 385
Player_1_Torso_Pos; 19.3138; 960; 630
Player_1_Left_Hand_Pos; 19.3138; 714; 630
Player_1_Right_Hand_Pos; 19.3138; 1176; 739
Player_1_Left_Foot_Pos; 19.3138; 918; 1001
Player_1_Right_Foot_Pos; 19.3138; 1176; 739
Player_1_Head_Pos; 19.3449; 1107; 385
Player_1_Torso_Pos; 19.3449; 971; 630
Player_1_Left_Hand_Pos; 19.3449; 714; 630
Player_1_Right_Hand_Pos; 19.3449; 1176; 743
Player_1_Left_Foot_Pos; 19.3449; 945; 1010
Player_1_Right_Foot_Pos; 19.3449; 1176; 743
Player_1_Head_Pos; 19.3616; 1102; 380
Player_1_Torso_Pos; 19.3616; 960; 630
Player_1_Left_Hand_Pos; 19.3616; 719; 630
Player_1_Right_Hand_Pos; 19.3616; 1176; 743
Player_1_Left_Foot_Pos; 19.3616; 897; 1001
Player_1_Right_Foot_Pos; 19.3616; 1176; 743
Player_1_Head_Pos; 19.3913; 1097; 380
Player_1_Torso_Pos; 19.3913; 966; 634
Player_1_Left_Hand_Pos; 19.3913; 719; 630
Player_1_Right_Hand_Pos; 19.3913; 1197; 848
Player_1_Left_Foot_Pos; 19.3913; 908; 1006
Player_1_Right_Foot_Pos; 19.3913; 1197; 848
Player_1_Head_Pos; 19.4664; 1113; 380
Player_1_Torso_Pos; 19.4664; 971; 634
Player_1_Left_Hand_Pos; 19.4664; 719; 630
Player_1_Right_Hand_Pos; 19.4664; 1191; 853
Player_1_Left_Foot_Pos; 19.4664; 945; 1019
Player_1_Right_Foot_Pos; 19.4664; 1191; 853
Player_1_Head_Pos; 19.4993; 1113; 380
Player_1_Torso_Pos; 19.4993; 976; 634
Player_1_Left_Hand_Pos; 19.4993; 719; 630
Player_1_Right_Hand_Pos; 19.4993; 1170; 756
Player_1_Left_Foot_Pos; 19.4993; 945; 1019
Player_1_Right_Foot_Pos; 19.4993; 1170; 756
Player_1_Head_Pos; 19.5181; 1113; 380
Player_1_Torso_Pos; 19.5181; 976; 634
Player_1_Left_Hand_Pos; 19.5181; 719; 630
Player_1_Right_Hand_Pos; 19.5181; 1170; 756
Player_1_Left_Foot_Pos; 19.5181; 945; 1019
Player_1_Right_Foot_Pos; 19.5181; 1170; 756
Player_1_Head_Pos; 19.596; 1113; 380
Player_1_Torso_Pos; 19.596; 976; 634
Player_1_Left_Hand_Pos; 19.596; 719; 630
Player_1_Right_Hand_Pos; 19.596; 1181; 748
Player_1_Left_Foot_Pos; 19.596; 934; 1050
Player_1_Right_Foot_Pos; 19.596; 1181; 748
Player_1_Head_Pos; 19.672; 1118; 380
Player_1_Torso_Pos; 19.672; 976; 634
Player_1_Left_Hand_Pos; 19.672; 719; 630
Player_1_Right_Hand_Pos; 19.672; 1191; 861
Player_1_Left_Foot_Pos; 19.672; 939; 1045
Player_1_Right_Foot_Pos; 19.672; 1191; 861
Player_1_Head_Pos; 19.7258; 1102; 389
Player_1_Torso_Pos; 19.7258; 976; 634
Player_1_Left_Hand_Pos; 19.7258; 719; 630
Player_1_Right_Hand_Pos; 19.7258; 1191; 861
Player_1_Left_Foot_Pos; 19.7258; 945; 1023
Player_1_Right_Foot_Pos; 19.7258; 1191; 861
Player_1_Head_Pos; 19.7479; 1102; 389
Player_1_Torso_Pos; 19.7479; 976; 634
Player_1_Left_Hand_Pos; 19.7479; 719; 630
Player_1_Right_Hand_Pos; 19.7479; 1170; 748
Player_1_Left_Foot_Pos; 19.7479; 945; 1023
Player_1_Right_Foot_Pos; 19.7479; 1170; 748
Player_1_Head_Pos; 19.7677; 1118; 389
Player_1_Torso_Pos; 19.7677; 976; 634
Player_1_Left_Hand_Pos; 19.7677; 719; 630
Player_1_Right_Hand_Pos; 19.7677; 1170; 748
Player_1_Left_Foot_Pos; 19.7677; 945; 1023
Player_1_Right_Foot_Pos; 19.7677; 1170; 748
Player_1_Head_Pos; 19.7958; 1118; 389
Player_1_Torso_Pos; 19.7958; 976; 634
Player_1_Left_Hand_Pos; 19.7958; 719; 630
Player_1_Right_Hand_Pos; 19.7958; 1170; 748
Player_1_Left_Foot_Pos; 19.7958; 945; 1023
Player_1_Right_Foot_Pos; 19.7958; 1170; 748
Player_1_Head_Pos; 19.8321; 1118; 389
Player_1_Torso_Pos; 19.8321; 976; 634
Player_1_Left_Hand_Pos; 19.8321; 719; 630
Player_1_Right_Hand_Pos; 19.8321; 1170; 748
Player_1_Left_Foot_Pos; 19.8321; 945; 1023
Player_1_Right_Foot_Pos; 19.8321; 1170; 748
Player_1_Head_Pos; 19.8614; 1102; 389
Player_1_Torso_Pos; 19.8614; 966; 630
Player_1_Left_Hand_Pos; 19.8614; 719; 621
Player_1_Right_Hand_Pos; 19.8614; 1176; 748
Player_1_Left_Foot_Pos; 19.8614; 913; 945
Player_1_Right_Foot_Pos; 19.8614; 1176; 748
Player_1_Head_Pos; 19.9034; 1113; 389
Player_1_Torso_Pos; 19.9034; 971; 630
Player_1_Left_Hand_Pos; 19.9034; 719; 630
Player_1_Right_Hand_Pos; 19.9034; 1170; 743
Player_1_Left_Foot_Pos; 19.9034; 945; 1019
Player_1_Right_Foot_Pos; 19.9034; 1170; 743
Player_1_Head_Pos; 19.9336; 1102; 389
Player_1_Torso_Pos; 19.9336; 971; 634
Player_1_Left_Hand_Pos; 19.9336; 719; 630
Player_1_Right_Hand_Pos; 19.9336; 1176; 756
Player_1_Left_Foot_Pos; 19.9336; 939; 1045
Player_1_Right_Foot_Pos; 19.9336; 1176; 756
Player_1_Head_Pos; 19.9855; 1118; 385
Player_1_Torso_Pos; 19.9855; 971; 634
Player_1_Left_Hand_Pos; 19.9855; 719; 630
Player_1_Right_Hand_Pos; 19.9855; 1176; 748
Player_1_Left_Foot_Pos; 19.9855; 945; 1019
Player_1_Right_Foot_Pos; 19.9855; 1176; 748
Player_1_Head_Pos; 19.9946; 1118; 385
Player_1_Torso_Pos; 19.9946; 971; 634
Player_1_Left_Hand_Pos; 19.9946; 719; 630
Player_1_Right_Hand_Pos; 19.9946; 1170; 743
Player_1_Left_Foot_Pos; 19.9946; 945; 1015
Player_1_Right_Foot_Pos; 19.9946; 1170; 743
Player_1_Head_Pos; 20.0326; 1107; 385
Player_1_Torso_Pos; 20.0326; 971; 634
Player_1_Left_Hand_Pos; 20.0326; 719; 630
Player_1_Right_Hand_Pos; 20.0326; 1170; 756
Player_1_Left_Foot_Pos; 20.0326; 945; 1019
Player_1_Right_Foot_Pos; 20.0326; 1170; 756
Player_1_Head_Pos; 20.0684; 1113; 385
Player_1_Torso_Pos; 20.0684; 976; 634
Player_1_Left_Hand_Pos; 20.0684; 719; 630
Player_1_Right_Hand_Pos; 20.0684; 1191; 853
Player_1_Left_Foot_Pos; 20.0684; 918; 1010
Player_1_Right_Foot_Pos; 20.0684; 1191; 853
Player_1_Head_Pos; 20.0975; 1118; 385
Player_1_Torso_Pos; 20.0975; 976; 634
Player_1_Left_Hand_Pos; 20.0975; 719; 630
Player_1_Right_Hand_Pos; 20.0975; 1191; 844
Player_1_Left_Foot_Pos; 20.0975; 945; 1019
Player_1_Right_Foot_Pos; 20.0975; 1191; 844
Player_1_Head_Pos; 20.1489; 1102; 389
Player_1_Torso_Pos; 20.1489; 976; 634
Player_1_Left_Hand_Pos; 20.1489; 719; 630
Player_1_Right_Hand_Pos; 20.1489; 1191; 848
Player_1_Left_Foot_Pos; 20.1489; 945; 1019
Player_1_Right_Foot_Pos; 20.1489; 1191; 848
Player_1_Head_Pos; 20.1683; 1113; 389
Player_1_Torso_Pos; 20.1683; 976; 634
Player_1_Left_Hand_Pos; 20.1683; 719; 630
Player_1_Right_Hand_Pos; 20.1683; 1191; 853
Player_1_Left_Foot_Pos; 20.1683; 945; 1019
Player_1_Right_Foot_Pos; 20.1683; 1191; 853
Player_1_Head_Pos; 20.1941; 1102; 389
Player_1_Torso_Pos; 20.1941; 976; 634
Player_1_Left_Hand_Pos; 20.1941; 719; 630
Player_1_Right_Hand_Pos; 20.1941; 1191; 853
Player_1_Left_Foot_Pos; 20.1941; 934; 1050
Player_1_Right_Foot_Pos; 20.1941; 1191; 853
Player_1_Head_Pos; 20.2223; 1113; 389
Player_1_Torso_Pos; 20.2223; 976; 634
Player_1_Left_Hand_Pos; 20.2223; 719; 630
Player_1_Right_Hand_Pos; 20.2223; 1191; 853
Player_1_Left_Foot_Pos; 20.2223; 945; 1019
Player_1_Right_Foot_Pos; 20.2223; 1191; 853
Player_1_Head_Pos; 20.2802; 1113; 389
Player_1_Torso_Pos; 20.2802; 976; 634
Player_1_Left_Hand_Pos; 20.2802; 719; 630
Player_1_Right_Hand_Pos; 20.2802; 1191; 853
Player_1_Left_Foot_Pos; 20.2802; 945; 1023
Player_1_Right_Foot_Pos; 20.2802; 1191; 853
Player_1_Head_Pos; 20.2978; 1102; 389
Player_1_Torso_Pos; 20.2978; 976; 634
Player_1_Left_Hand_Pos; 20.2978; 719; 630
Player_1_Right_Hand_Pos; 20.2978; 1170; 743
Player_1_Left_Foot_Pos; 20.2978; 929; 910
Player_1_Right_Foot_Pos; 20.2978; 1170; 743
Player_1_Head_Pos; 20.3122; 1102; 389
Player_1_Torso_Pos; 20.3122; 976; 634
Player_1_Left_Hand_Pos; 20.3122; 719; 630
Player_1_Right_Hand_Pos; 20.3122; 1191; 857
Player_1_Left_Foot_Pos; 20.3122; 945; 1023
Player_1_Right_Foot_Pos; 20.3122; 1191; 857
Player_1_Head_Pos; 20.379; 1107; 389
Player_1_Torso_Pos; 20.379; 976; 634
Player_1_Left_Hand_Pos; 20.379; 719; 630
Player_1_Right_Hand_Pos; 20.379; 1181; 700
Player_1_Left_Foot_Pos; 20.379; 897; 988
Player_1_Right_Foot_Pos; 20.379; 1181; 700
Player_1_Head_Pos; 20.3982; 1050; 441
Player_1_Torso_Pos; 20.3982; 987; 630
Player_1_Left_Hand_Pos; 20.3982; 735; 651
Player_1_Right_Hand_Pos; 20.3982; 1197; 638
Player_1_Left_Foot_Pos; 20.3982; 929; 1041
Player_1_Right_Foot_Pos; 20.3982; 1197; 638
Player_1_Head_Pos; 20.4387; 1029; 826
Player_1_Torso_Pos; 20.4387; 997; 778
Player_1_Left_Hand_Pos; 20.4387; 834; 931
Player_1_Right_Hand_Pos; 20.4387; 1181; 748
